District,date,Region,urb_rural,hhsize,ReduceMealsPerDay,Education,SkipAMeal,RanOutOfFood,HungryDidntEat,DidntEatWholeDay,IncomeDecline,WorkHHFarm,WorkActivityLastWeek,NotEnoughFood,WorkedLastWeek,WorkedB4COVID
Chitipa,2017,1,1.9166666,4.088541666666667,1.6223959,1.6052631,1.6901041,1.6848959,1.6302084,1.3151041,.97395831,1.0859375,3.0165746,1.3489584,1.0572916,
Chitipa,2019,1,1.9166666,4.497395833333333,.68489581,2.2068965,1.5078125,1.5494791,1.5286459,1.3723959,.51822919,1.171875,2.7843137,,1.0703125,
Chitipa,62020,1,1.9615384,5.307692307692307,,3.4230769,1.6153846,1.6923077,1.6923077,1.8076923,.65384614,1.2173913,,,1.2692307,2
Chitipa,72020,34.42857,1.96,5.4,,3.52,1.8,1.92,1.76,2,.16,1.2083334,,,1,
Chitipa,82020,34,1.9230769,5.269230769230769,,3.4230769,1.6538461,1.7307693,1.5769231,2,.03846154,1.2173913,,,,
Karonga,2017,1,1.875,4.3125,1.6432291,1.7352941,1.7083334,1.7473959,1.6484375,1.3151041,.9609375,1.1380209,2.8516321,1.2708334,1.1223959,
Karonga,2019,1,1.7916666,4.666666666666667,.98177081,2.2329843,1.6848959,1.7369791,1.7005209,1.5182291,.57552081,1.2838541,2.9682996,,1.0963541,
Karonga,62020,1,1.325,4.6,,2.5250001,1.425,1.5,1.45,1.725,.85000002,1.225,,,1.35,1.7142857
Karonga,72020,34,1.3,4.55,,2.5250001,1.475,1.65,1.425,1.95,.75,1.225,,,,
Karonga,82020,35.137932,1.3157895,4.447368421052632,,2.5,1.3947369,1.6052631,1.3421053,1.9736842,.5,1.2195122,,,1,
Nkhatabay,2017,1,1.9164491,5.357702349869451,1.3785901,1.7207447,1.7415143,1.6866841,1.694517,1.4908617,.95822453,1.1462141,2.8989546,1.3942559,1.2506528,
Nkhatabay,2019,1,1.9523809,4.803571428571429,1.0178572,2.1837349,1.7142857,1.6726191,1.6607143,1.4434524,.64880955,1.2648809,2.9840255,,1.0684524,
Nkhatabay,62020,1,1.9375,7.166666666666667,,2.6458333,1.2083334,1.3958334,1.3125,1.5833334,.79166669,1.12,,,1.1458334,1.4285715
Nkhatabay,72020,34.23077,1.9574468,7.404255319148936,,2.680851,1.2340425,1.3191489,1.3404255,1.6808511,.5106383,1.12,,,1,
Nkhatabay,82020,35.434784,1.9555556,7.133333333333334,,2.6888888,1.2222222,1.3555555,1.3333334,1.5111111,.68888891,1.12,,,1,
Rumphi,2017,1,1.875,4.4453125,1.3411459,2.0580475,1.7473959,1.6666666,1.6510416,1.4244791,.9453125,1.1354166,2.7651246,1.3932291,1.2682291,
Rumphi,2019,1,1.9036144,4.545180722891566,.69578314,2.5632529,1.563253,1.5572289,1.5060241,1.3524096,.61746991,1.2409638,2.7261147,,1.0542169,
